開港112年函館港まつり、8月1日～5日、函館市・函館港まつり協賛会、印刷/函館・竜文堂印刷所、サインあり、昭和45年7月22日受付,,1971年,,102.5×72.5cm,po000001,,,,,,
開港111年、函館港まつり、8月1日～5日、函館市・函館港まつり協賛会・青函船舶鉄道管理局、印刷/竜文堂印刷、サインあり,,1970年,,102.5×72.5cm,po000002,,,,,,
`67HARBOURFESTIVALOFHAKODATE、開港109年記念、函館港まつり、主催函館市・函館港まつり協賛会、8月2日→6日、5日1万人踊りパレード全国花火コンクール、6日全函館吹奏楽・鼓笛パレード、(デザイン)阿部立、(フォト)小林吉男、(印刷)第一印刷所,,1967年,,103.5×74.0cm,po000005,,,,,,
開港108年記念、函館港まつり、1万人踊りパレード・花火大会《6日》、全函館吹奏楽鼓笛パレード《7日》、8月3日→7日、写真は昨年の港まつり1万人踊りパレード風景…、主催＝函館市・函館港まつり協賛会、(写真)北海道新聞社函館支部、(デザイン)阿部立、(印刷)函館第一印刷所,,1966年,,103.0×74.0cm,po000006,,,,,,
HAKODATEMINATOMATURI、港まつり、7月1日ヨリ3日間、函館市、東京築地ジーチーサン商会製、サインあり,,,,91.0×60.5cm,po000008,,,,,,
函館市、七月一日ヨリ三日間、京都祇園観光社發行、電話祇園五七八番、サインあり,,,,108.0×74.0cm,po000011,,,,,,
一、所論公正、一世を善導す、本紙に依り始めて筆の偉力を知る一、社会から家庭への忠実なる連絡は本紙職責の第一要義である一、發行部数の夛きは広告宣傳力の大なる事を最も雄辯に物語る、函館市蓬莢町一五五番地、函館日日新聞社、電話一五八九番二四九九番,,,,77.0×35.0cm,po000012,,,,,,
只今出来いたしました、婦女界、新春特別号、定価金二十銭,,,,94.5×32.0cm,po000013,,,,,,
開港119年記念函館港まつり、期間・8月3日(水)～8月7日(日)、8月5日(金)・一万人踊りパレード、8月6日(土)・全国花火大会、8月7日(日)・鼓笛大音楽パレード、主催・函館港まつり協賛会、撮影・吉村博道、デザイン・仲経晴、印刷・竜文堂、資料提供・函館五嶋軒、東日本フェリー東日本観光,,1978年,,103.0×73.0cm,po000015,,,,,,
開港百十八年記念函館港まつり、八月四日(水)から八日(日)まで、八月六日(金)一万人踊りパレード・七日(土)全国花火コンクール・函館マーチングバンドフェスティバル・八日(日)鼓笛大音楽パレード、東日本フェリー東日本観光、主催・函館港まつり協賛会、撮影・吉村博道、デザイン・仲経晴、印刷・竜文堂,,1977年,,103.0×72.5cm,po000017,,,,,,
函館港まつり、開港116年記念、ペリー来航120周年、8月1日(木)から5日(月)まで、二日(金)……一万人踊りパレード、三日(土)……全国花火コンクール・吹奏楽フェステバル・歩行者天国、四日(日)……鼓笛パレード、主催・函館港まつり協賛会、東日本フェリー東日本観光、撮影・吉村博道、デザイン・仲経晴、印刷・竜文堂印刷,,1975年,,103.0×73.0cm,po000018,,,,,,
開港百十三年記念〈八月四日～八日〉、函館港まつり、函館市、函館港まつり協賛会、印刷＝竜文堂印刷所、昭和46年6月29日受付,,1972年,,103.0×73.0cm,po000020,,,,,,
博文館、伊達騒動、佐倉宗五郎、文殊九助、赤穂義士、由井正雪、紀伊国屋文左衛門、銭屋五兵衛、木下藤吉郎、大久保彦左衛門、怪談牡丹燈籠・佐賀の夜桜、岩見武勇博・笹野名槍博、衛兵長院隨幡、荒木又右衛門・澁川伴五郎、天一坊・村井長庵、長編講談、四六判美本口繪數色刷二枚揷画八十餘個、紙數五百頁、各参拾銭、拾二卷既刊、續卷毎月刊行、山本帳簿製造所石印,,,,107.5×38.0cm,po000022,,,,,,
岩波講座日本文学、鬱積せる新研究の発表、内容見本進呈,,,,96.5×38.0cm,po000023,,,,,,
品のよい実用向きの婦人雑誌は何？、婦人世界、実業之日本社,,,,90.0×30.0cm,po000024,,,,,,
少女の友、実業之日本社,,,,90.0×30.0cm,po000025,,,,,,
日本少年、無類飛切に面白い！、定価十二銭、実業之日本社,,,,90.0×30.0cm,po000026,,,,,,
開港121年記念函館港まつり、8月1日(水)～5日(日)、7月31日(火)前夜祭、8月1日(水)～5日(日)おまつり広場、3日(金)一万人踊りパレード・マーチングバンドフェスティバル、4日(土)全国花火大会、5日(日)鼓笛大音楽パレード・歩行者天国、資料・若山徳次郎（五嶋軒）・市立函館図書館所蔵、写真・吉村博道・吉江和幸、デザイン・平塚英昭、印刷・竜文堂印刷株式会社、主催/函館港まつり協賛会、東日本フェリー・東日本観光,,,,103.0×73.0cm,po000027,,,,,,
SAPPOROさっぽろ、さっぽろ雪まつり1/31・2/1・2/2、日立テレビ、,,,,103.0×73.0cm,po000029,,,,,,
「神々とファラオ」（昭和42年）、道産子の追憶岩橋英遠展、主催北海道立近代美術館・朝日新聞社・岩橋英遠展実行委員会、後援札幌市教育委員会、観覧料一般300円（250円）・高・大生200円（150円）・小・中生150円（100円）、（）内は前売および10名以上の団体料金、9/16(土)→10/1(日)、1978月曜日休館・9月23日祝日開館、10:00→17:00（入館は16:30まで）、北海道立近代美術館、札幌市中央区北1条西17丁目、地下鉄東西線〈西18丁目〉駅下車徒歩5分、国鉄バス・中央バス〈西17丁目〉停留所下車徒歩1分、電話・644-6881（代）,,,,102.5×66.5cm,po000030,,,,,,
北海道観光の起点はこだて、函館市、函館観光協会、湯の川温泉観光協会、青函船舶鉄道管理局、写真・函館山から月の出た市街夜景を望む、撮影・米倉秋男、デザイン・阿部立、印刷・大日本印刷株式会社,,1966年,,104.5×74.5cm,po000032,,,,,,
史蹟とさくらの名所松前、松前町、松前観光協会、青函船舶鉄道管理局、サインあり,,,,104.5×73.5cm,po000033,,,,,,
松前、桜と史蹟の名所、松前城再建中、松前観光協会・松前城再建期成会・青函船舶鉄道管理局,,,,105.5×74.5cm,po000034,,,,,,
第10回箱館五稜郭祭、昭和54年5月19日/20日、19日(土)維新行列/開城セレモニー、20日(日)維新行列/音楽パレード、津軽領山、南部領山遠看、青盛、箱館山、大畑、立待岬、弁天砲台、船御番所、函館湾、五稜郭、政府軍総参謀黒田了介、政府軍軍艦田島圭蔵、幕府軍総裁榎本武揚、政府軍軍艦前田雅楽、幕府軍陸軍奉行大島圭介、幕府軍海軍奉行荒井郁大助、幕府軍副総裁松平太郎、題字中島荘牛、絵師平塚英昭、刷所第一印刷、企画制作株式会社電通函館支店、発行所五稜郭祭実行委員会、昭和五十四年三月御届、五稜郭祭十周年記念五稜郭開城之図、主催/函館市・箱館五稜郭祭協賛会、サインあり,,1969年,,103.0×70.5cm,po000035,,,,,,
恐山（国鉄周遊指定地）と薬研温泉、むつ市・大畑町・むつ観光協会・下北バスKK・東日本フェリKK,,,,103.0×73.5cm,po000038,,,,,,
お城と八重桜、松前、松前町、松前観光協会、青函船舶鉄道管理局,,,,105.5×74.5cm,po000039,,,,,,
はこだて、HAKODATE、函館市・青函船舶鉄道管理局・函館観光協会・湯の川温泉観光協会、≪海の女王八甲田丸≫撮影米倉秋男、デザイン阿部立、印刷凸版印刷株式会社,,,,102.5×72.5cm,po000041,,,,,,
はこだて、HAKODATEHOKKAIDO、新日本百景第一位函館山、函館市・青函船舶鉄道管理局・函館観光協会・湯の川温泉観光協会、撮影：米倉秋男、印刷：大日本印刷KK,,1964年,,102.5×72.5cm,po000042,,,,,,
北海道観光の起点、はこだて、≪写真・教会と連絡船≫、函館市・函館観光協会・函館湯の川温泉観光協会・青函船舶鉄道管理局、デザイン＝阿部立、フォト＝加賀俊男、印刷＝凸版印刷株式会社,,1967年,,103.0×73.0cm,po000043,,,,,,
はこだて、HAKODATEHOKKAIDO、特別史跡・五稜郭跡、函館市・青函船舶鉄道管理局・函館観光協会・湯の川温泉観光協会,,1958年,,103.0×73.0cm,po000044,,,,,,
函館、函館市・函館観光協会・湯の川温泉観光協会・青函船舶鉄道管理局、題字＝太田鶴堂、写真＝吉村博道、印刷＝凸版印刷株式会社,,1970年,,100.0×72.5cm,po000045,,,,,,
函館、函館市・函館観光協会・湯の川温泉観光協会・青函船舶鉄道管理局、題字＝太田鶴堂、写真＝吉村博道、印刷＝大日本印刷株式会社,,1968年,,103.0×73.5cm,po000046,,,,,,
函館、週刊読売「新日本百景」第一位函館山より、函館市・函館観光協会・青函船舶鉄道管理局、大日本印刷株式会社印刷,,1958年,,102.5×72.5cm,po000047,,,,,,
はこだて、石川啄木像、函館市・函館観光協会・湯の川温泉観光協会・青函船舶鉄道管理局,,1961年,,103.0×72.5cm,po000048,,,,,,
北海道文化の発祥地松前、史蹟とさくら、松前町・松前観光協会・青函船舶鉄道管理局,,,,103.5×73.0cm,po000049,,,,,,
北海道文化の発祥地、史蹟とさくらの松前、松前町・松前観光協会・青函船舶鉄道管理局,,,,140.0×75.5cm,po000050,,,,,,
史蹟とさくらの名所松前、松前町・松前観光協会・青函船舶鉄道管理局,,,,103.0×73.0cm,po000051,,,,,,
史蹟とさくらの松前、松前・矢越道立自然公園、松前町・松前観光協会・青函船舶鉄道管理局,,,,103.0×73.0cm,po000052,,,,,,
オリンピック東京大会、駒沢陸上競技場・駒沢オリンピック公園管制塔・屋内総合競技場本館の写真付き、国内聖火リレーコース、オリンピック東京大会競技別会場日程一覧付き、文部省,,1964年,,73.0×104.0cm,po000053,,,,,,
京都へ、京都市・大阪鉄道管理局、大鉄局P5420、29.5.30迄掲出、大日本印刷京都工場印行、サインあり,,,,73.0×52.0cm,po000057,,,,,,
家庭と青少年の日、毎月第3日曜日、1月～3月あたたかい家庭にはぐくまれる青少年、4月～6月健康で明るい青少年、7月～9月きれいな社会に育つ青少年、10月～12月函館圏をきずく青少年、主唱函館市・函館市青少年問題協議会、サインあり、昭和46年3月27日受付,,,,83.0×53.0cm,po000058,,,,,,
10月1日からたすけあって共同募金、みんなで赤い羽根をもっと大きく育てよう！災害時の緊急援護などにも、恵まれない人たちにお年玉を、民間福祉施設の人たちのために、地域の福祉をたかめるために、′69BYH.TAKAHASHI..KYODOPRINTINGCo.,LTD、昭和45年1月17日受付,,,,73.0×51.0cm,po000059,,,,,
4月18日、′71発明の日、通商産業省・特許庁、昭和46年4月6日受付,,,,73.0×51.0cm,po000060,,,,,,
春の交通安全道民総ぐるみ運動、新入学（園）児童を交通事故から守りましょう、期間4月1日ー5月1日、特別強化期間4月5日ー4月10日・4月26日ー5月1日、北海道・交通安全道民運動推進委員会,,,,73.0×51.0cm,po000061,,,,,,
みんなそろって交通安全、右側を歩こう、横断歩道を渡ろう、信号を守ろう、函館市・函館市安全都市推進委員会、昭和46年3月29日受付,,,,73.0×51.0cm,po000062,,,,,,
港まつり、7月1日⇒5日、函館市、株式会社北海商報社印行、サインあり、昭和52年6月20日印,,,,75.0×52.0cm,po000063,,,,,,
函館開港百年記念展、会期7月15日⇒8月5日、会場新川小学校、主催函館市,,1958年,,37.0×51.0cm,po000067,,,,,,
港まつり恊賛東日本名物名産共進展、6月28日～7月6日、共催・函館市・函館商工会議所・国鉄函館営業所・函館観光恊会・北海道新聞函館支社、岐阜県以東北海道まで一都一道二十一県の工芸品郷土玩具お土産食料品等その地方の名物名産品をひろくとり蒐めて展示即売いたします、会場ボーニ森屋二階ホール,,,,37.0×53.0cm,po000068,,,,,,
北海道立美術館1971、常設展示三岸好太郎作品展・道内物故作家作品展・国内外現代版画展・その他、特別企画展海老原喜之助・素描・水彩・版画展・国宝源氏物語絵巻展・第4回北海道秀作美術展・同巡回展・その他、Exhibitions(Exhibitsonpermanentdispia)WorksofMIGISHIKOTARO・ModernMasterpiecesbyLateArtistsofHokkaido(OilPaintings・Drawings・Sculptures・etc.)PrintsbyContemporaryJapanese&OverseasArtistsSpecialExhibitionsEBIHARAKINOSUKE…Water-colorPaintingsPrints・DrawingNationalTreasure：TheScrollsofGENJIMONOGATARIThe4thExhibitionoftheFineArtsofHokkaido、andVisitingExhibitions、友の会美術鑑賞講座・美術講演会・実技講習会・美術鑑賞旅行・美術映画会・その他、列品解説案内常設展・団体、その他申し込みがあれば随時、特別展日時はそのつど定める（随時入会可能）、開館時間午前10時～午後5時、休館日毎週月曜・祝日・年末年始、入館料、無料（特別企画は別に定める）、Days：Opendaily10a.m.～5p.m.closedMondaysandHolidays、Admission：Free、Adress：1North5westSapporoHokkaido、THEMUSEUMOFARTHOKKAIDO、札幌市北1西5、TEL221-0811昭和46年4月11日受付,,1971年,,73.0×52.0cm,po000069,,,,,,
函館開港百年祭、記念たばこ、いこい発売七月十二日、函館市・函館開港百年祭実行委員会,,1958年,,76.0×34.0cm,po000070,,,,,,
