0,1,2,3,4,5,6
丹頂　千歳鶴,,,,84.0×59.5cm,,po000181
港まつり,HAKODATEMINATOMATURI、港まつり、7月1日ヨリ3日間、函館市、東京築地ジーチーサン商会製、サインあり,,,91.0×60.5cm,,po000008
函館日日新聞社,一、所論公正、一世を善導す、本紙に依り始めて筆の偉力を知る　一、社会から家庭への忠実なる連絡は本紙職責の第一要義である　一、發行部数の夛きは広告宣傳力の大なる事を最も雄辯に物語る、函館市蓬莢町一五五番地、函館日日新聞社、電話一五八九番二四九九番,,,77.0×35.0cm,,po000012
婦女界,只今出来いたしました、婦女界、新春特別号、定価金二十銭,,,94.5×32.0cm,,po000013
長編講談,博文館、伊達騒動、佐倉宗五郎、文殊九助、赤穂義士、由井正雪、紀伊国屋文左衛門、銭屋五兵衛、木下藤吉郎、大久保彦左衛門、怪談牡丹燈籠・佐賀の夜桜、岩見武勇博・笹野名槍博、衛兵長院隨幡、荒木又右衛門・澁川伴五郎、天一坊・村井長庵、長編講談、四六判美本口繪數色刷二枚?画八十餘個、紙數五百頁、各参拾銭、拾二卷既刊、續卷毎月刊行、山本帳簿製造所石印,,,107.5×38.0cm,,po000022
岩波講座　日本文学,岩波講座日本文学、鬱積せる新研究の発表、内容見本進呈,,,96.5×38.0cm,,po000023
婦人世界,品のよい実用向きの婦人雑誌は何？、婦人世界、実業之日本社,,,90.0×30.0cm,,po000024
少女の友,少女の友、実業之日本社,,,90.0×30.0cm,,po000025
日本少年,日本少年、無類飛切に面白い！、定価十二銭、実業之日本社,,,90.0×30.0cm,,po000026
さっぽろ,SAPPOROさっぽろ、さっぽろ雪まつり1/31・2/1・2/2、日立テレビ、,,,103.0×73.0cm,,po000029
岩橋英遠展,「神々とファラオ」（昭和42年）、道産子の追憶　岩橋英遠展、主催　北海道立近代美術館・朝日新聞社・岩橋英遠展実行委員会、後援　札幌市教育委員会、観覧料　一般300円（250円）・高・大生200円（150円）・小・中生150円（100円）、（）内は前売および10名以上の団体料金、9/16(土)→10/1(日)、1978 月曜日休館・9月23日祝日開館、10:00→17:00（入館は16:30まで）、北海道立近代美術館、札幌市中央区北1条西17丁目、地下鉄東西線〈西18丁目〉駅下車徒歩5分、国鉄バス・中央バス〈西17丁目〉停留所下車徒歩1分、電話・644-6881（代）,,,102.5×66.5cm,,po000030
松前,史蹟とさくらの名所松前、松前町、松前観光協会、青函船舶鉄道管理局、サインあり,,,104.5×73.5cm,,po000033
松前,松前、桜と史蹟の名所、松前城再建中、松前観光協会・松前城再建期成会・青函船舶鉄道管理局,,,105.5×74.5cm,,po000034
恐山（国鉄周遊指定地）と薬研温泉,恐山（国鉄周遊指定地）と薬研温泉、むつ市・大畑町・むつ観光協会・下北バスKK・東日本フェリKK　,,,103.0×73.5cm,,po000038
松前,お城と八重桜、松前、松前町、松前観光協会、青函船舶鉄道管理局,,,105.5×74.5cm,,po000039
松前,北海道文化の発祥地　松前、史蹟とさくら、松前町・松前観光協会・青函船舶鉄道管理局,,,103.5×73.0cm,,po000049
松前,北海道文化の発祥地、史蹟とさくらの松前、松前町・松前観光協会・青函船舶鉄道管理局,,,140.0×75.5cm,,po000050
松前,史蹟とさくらの名所　松前、松前町・松前観光協会・青函船舶鉄道管理局,,,103.0×73.0cm,,po000051
松前,史蹟とさくらの松前、松前・矢越道立自然公園、松前町・松前観光協会・青函船舶鉄道管理局,,,103.0×73.0cm,,po000052
オリンピック東京大会,オリンピック東京大会、駒沢陸上競技場・駒沢オリンピック公園管制塔・屋内総合競技場本館の写真付き、国内聖火リレーコース、オリンピック東京大会競技別会場日程一覧付き、文部省,,1964年,73.0×104.0cm,,po000053
京都へ,京都へ、京都市・大阪鉄道管理局、大鉄局P5420、29.5.30迄掲出、大日本印刷京都工場印行、サインあり,,,73.0×52.0cm,,po000057
北海道立美術館　1971,北海道立美術館　1971、常設展示　三岸好太郎作品展・道内物故作家作品展・国内外現代版画展・その他、特別企画展　海老原喜之助・素描・水彩・版画展・国宝源氏物語絵巻展・第4回北海道秀作美術展・同巡回展・その他、Exhibitions(Exhibits on permanent dispia)Works of MIGISHI KOTARO・Modern Masterpieces by Late Artists of Hokkaido(Oil Paintings・Drawings・Sculptures・etc.)Prints by Contemporary Japanese&Overseas Artists  Special Exhibitions EBIHARA KINOSUKE…Water-color Paintings Prints・Drawing  National Treasure：The Scrolls of GENJIMONOGATARI  The 4th Exhibition of the Fine Arts of Hokkaido、and Visiting Exhibitions、友の会　美術鑑賞講座・美術講演会・実技講習会・美術鑑賞旅行・美術映画会・その他、列品解説案内　常設展・団体、その他申し込みがあれば随時、特別展　日時はそのつど定める（随時入会可能）、開館時間　午前10時～午後5時、休館日　毎週月曜・祝日・年末年始、入館料、無料（特別企画は別に定める）、Days：Open daily 10a.m.～5p.m. closed Mondays and Holidays、Admission：Free、Adress：1North 5west Sapporo Hokkaido、THE MUSEUM OF ART HOKKAIDO、札幌市北1西5、TEL 221-0811　昭和46年4月11日受付,,1971年,73.0×52.0cm,,po000069
