title,number
[ハリストス正教会],pc021362
[ハリス監督記念函館教会堂　日本メソヂスト函館教会],pc002845
THE VIEW OF HAKODATE　（函館）　天主公教会,pc000903
函館港天主教寺院　Hakodate Tensiyukyouzien,pc020001-0001
函館区外湯の川　トラピスト修道院[トラピスチヌ修道院]　HAKODATE TORAPSUTO　No.239　,pc000293-0001
函館区外湯の川　トラピスト修道院[トラピスチヌ修道院]　（其一）　HAKODATE TORAPSUTO　No.237　,pc002305
"函館付近当別　トラピスト修院[トラピスト修道院]の全景　Torapsut Christian, Hakodate.",pc001417
（函館名所）　日持上人旧跡鶏冠石　,pc002340-0001
（函館郊外名所）　湯の川トラピスト修道院[トラピスチヌ修道院]　（1）　,pc000581
（当別）　トラピスト修道院全景　THE TRAPP ST MONASTERY AT TOBETSU　,pc020387-0001
函館八幡宮　,pc010372-0001
No 11　函館八幡宮　HACHIMAN SHRINE HAKODATE　,pc002836-0001
（函館郊外名所）　湯の川トラピスト修道院[トラピスチヌ修道院]全景　,pc003173
（函館名所）　日本銀行函館支店　NIHONGINKOUHAKODATESHITEN.,pc000568-0001
（函館末広町）　函館銀行　THE HAKODATE BANK.,pc000948
株式会社函館貯蓄銀行,pc000029-0001
"函館名所　（其八）　船場町北海道拓殖銀行函館支店　The Hokkaido Colonization Bank Branch Shop or office, of Hakodate.",pc000958-0001
（函館）　拓殖銀行函館支店　The Takushokuginko of Hakodate.,pc003155
東宮殿下函館行在所　[函館公会堂],pc002613
函館市民館,pc001169
昭和四年九月竣工　[函館水上警察署　東浜町巡査派出所],pc010004-0001
皇太子殿下御旅館函館公会堂　Hakodate pudulic hall pu■rer of the crown prince.,pc000752-0001
（函館名所）　宝町函館警察署　（大正六年十一月竣工）,pc002356-0001
THE HAKODATE　CITIZENS　HALL　函館市民館　,pc002386
[函館市民館],pc002671
（函館名所）　THE VIEW OF HAKODATE　函館公会堂,pc001041-0001
函館公会堂　THE PUBLIC HALL HAKODATE.,pc002976-0001
函館公会堂　THE PUBLIC HALL HAKODATE.,pc001285-0001
函館露国領事館　The Russian consulate at Hakodate.,pc003001-0001
新築の函館郵便局と地下線新設の電話交換局　Postoffice of hakodate new buijding and chikasen a telephone exchange office,pc002703-0001
函館新築郵便局　New Post Office at Hakodate.,pc020103
[函館専売局],pc002101-0001
"（函館）　控訴院全景　THE COURT OF APPEAL, HAKODATE.",pc021056-0001
函館新築税関署　New Costom House at  Hakodate.,pc002260-0001
函館税関　Hakodate　Custom　House.,pc000434
"函館支庁　The branch, in Hakodate.",pc002206-0001
函館支庁,pc020118-0001
函館区役所　The Hakodate District Office.,pc002971
函館区役所全景　THE HAKODATE WARD OFFICE.,pc002929-0001
函館官署（其四）函館区役所　THE CITY OFFICE AT HAKODATE.,pc001637
函館招魂社　THE SHRINE FOR THOSE KiLLED IN WAR OF HAKODATE.,pc003098
[函館招魂社],pc010293
[函館招魂社]函館毎日新聞主催力持大会　（谷地頭ニ於ケル）　七俵肩持競技　（其二）,pc010446-0001
函館高龍寺庭園　（其二）　Temple koruwji garden hakodate(2),pc010689-0001
函館高龍寺山門,pc010424-0001
"函館台町高龍寺　THE TEMPLE KORYU-JI IN DAI ST, HAKODATE.",pc000617
"函館高龍寺山門　The Gate, at Kooryu Temple, in Hakodate.",pc020127-0001
函館官幣中社八幡宮,pc000591-0001
（函館名所）　国幣中社函館八幡宮,pc000242-0001
（函館名所）　函館八幡宮　The Shrive of Hakodate-hachimangu.,pc002815
"函館西本願寺別院　an off-shoot in Nishihongan Temple, at Hakodate.",pc010879
A BATHROOM.YUNOKAWA SPA　旅館の浴室　函館湯の川温泉,pc000415
本願寺函館別院　HOGANJI TEMPLE AT HAKODATE.,pc002171-0001
（函館）　大谷派函館別院　Hakodate Hongwanji Temple,pc002857-0001
護念山称名寺本堂　鉄筋コンクリート三階建　（函館市）　設計施工木田組,pc020380-0001
函館市称名寺　The Tenple Shomei in Hakodate.,pc020061-0001
函館栄町善光寺牛王大日殿,pc000462-0001
函館天祐寺表門　コンクリート製作現場　当山第十二世　山口智順　工事中　起工式大正三年六月　棟梁　帝室技芸員　伊藤平左衛門,pc002067-0001
"函館区立幸小学校　The Saiwai Benner School, Hakodate.",pc010337-0001
函館区立住吉小学校　Ｓｕｎｍｉｙｏｓｈｉ-Ｃommonalementlｙ-ｓchool.　(Hakodate),pc000650-0001
皇太子殿下御慶事記念御真影奉置所　（住吉小学校保護会）　校旗及校舎　奉置所,pc010007-0001
皇太子殿下御成婚記念　御真影奉置所　函館市高砂尋常小学校　児童保護会同窓会,pc010155-0001
"（函館）　衛生展覧会々場宝小学校　THE HYGIENE EXHIBITION GALLERY, HAKODATE.",pc010919
北海道函館東川学校　Azumagawa School in Hakodate.,pc002224
第二東川小学校御真影奉置所,pc010374-0001
函館市的場尋常高等小学校　校舎全景　,pc010510
"函館区立弥生尋常高等小学校　Yayoi Benner School, Hakodate",pc010090-0001
御真影奉置所　函館市若松尋常高等小学校,pc001065
函館市若松尋常高等小学校　,pc000506
[函館中学校校舎],pc020071
函館中学校　HAKODATE MIDDLE SCHOOL,pc002564-0001
庁立函館中学校　View of.Hakodate chigakko,pc002758-0001
函館遺愛女学校全景,pc000441-0001
御真影奉置所落成記念　（函館大谷高等女学校）,pc010281
北海道庁立函館高等女学校　The Hakodate Higer Girls School of Hokaido prefecture,pc000124-0001
函館高等女学校,pc000426
"北海道庁立函館高等女学校　（其一）　Girl's Normal School, Hakodate",pc020233-0001
北海道庁立函館高等女学校　THE HAKODATE HIGHER GIRLS' SCHOOL,pc000800
函館商業学校　〔其二〕　Nishibori-Sei,pc000488-0001
北海道庁立函館商業学校寄宿舎　Domitory of Hakodate Commercial School.,pc000359
"北海道庁立函館商業学校　The Trade School, Hakodate",pc002196-0001
（函館名所）　庁立函館商業学校　THE VIEW OF HAKODATE,pc002769-0001
函館商業学校,pc002783
函館商船学校　A Hakodate Nautical School,pc000547
函館商船学校　THE HAKODATE NAUTICAL SCHOOL.,pc010169-0001
函館商船学校　Hakodate Shosengakko.(Marehant ships seHool),pc000816
函館商船学校　The Hakodate nautical school.,pc002254-0001
[不明、校舎と校旗],pc000907
北海道裁縫学校か,pc002529-0001
[教育品展覧会旗で装飾された会場],pc000926
御真影奉安所　函館市大森尋常高等小学校　昭和五年九月六日落成式挙行,pc002828
函館市大森尋常小学校校舎全景　,pc020276-0001
[大谷女学校　五稜郭に於いて],pc001598-0001
函館聖保録高等女学校　,pc002268-0001
[函館私立堀川商業学校],pc002774-0001
再築落成の私立函館盲唖院　（汐見町三十一番地）,pc000772
函館市青柳尋常小学校　,pc002602-0001
函館市高盛尋常高等小学校　,pc020132-0001
函館市弥生女子尋常小学校　,pc010204
北海道函館師範学校開校式紀念　大正四年六月三日　和田校長,pc003140
教育勅語奉読式　明治二十三年十二月五日午前十時　於函館公園公私立学校十八校職員　生徒三千余人参列　,pc000899
函館商船学校練習船函館丸　,pc000121
雪の函館図書館,pc010392-0001
[市立函館図書館内、協同館の扁額が見える],pc010380-0001
函館図書館付属新築書庫　工事概要　様式　近世復興式　建坪　二十二坪五合　総坪　百十二坪　階数　地中階共五層　軒高　三十八尺五寸　窓　鉄網入硝子障子　工費　一万余円　起工　大正四年八月　竣工　大正五年十二月,pc000420-0001
市立函館図書館,pc002226-0001
函館図書館　,pc000595
函館公園図書館　THE LIBRALY HAKODATE PARK.,pc002779
[函館図書館]拝啓益々御隆盛奉謹賀候扨而弊館も愈よ二月十一日開館の事に決定致候間爾後貴　発行刊行物の御寄贈を仰き公衆の閲覚に供し度候に付き抂げて御承諾被成下此段得貴意候也　月　日,pc001307
函館区立病院　a Hospital in Hakodate,pc000655-0001
（函館名所）　低区水道配水池　（其一）　FAMOUS PLACE AT HAKODATE　No.7　,pc001272
明治九年奥羽巡幸図会略写　函館港烟花展覧図,pc000957-0001
株式会社十二銀行函館支店営業所,pc000018-0001
函館湯の川温泉　林長館庭園及浴室　,pc001060
函館蓬莱町　小林亭,pc000679
（函館市大縄町百六番地　能登屋商店　岡田菊太郎）,pc010162-0001
（函館風景）　帝国博品館　HAKODATE.,pc000429-0001
"函館博品館ノ夜景　NIGHT VIEW OF HAKUHINKAN, HAKODATE.",pc002244-0001
函館小林亭,pc010322-0001
函館区蓬莱町十一番地　料理店　小林亭　,pc000951-0001
函館軒　大食堂,pc001232
明治13年建築された旧金森洋物店　（北海道指定有形文化財）　昭和44年11月市立函館博物館郷土資料館として開館　明治13年旧金森洋物店の開店チラシ－市立函館図書館蔵－,pc010482
"〔函館勝田旅館〕　THE KATSUTA HOTEL, HAKODATE",pc000536-0001
函館恵比須町第一勧工場通　Ebis-street.　(Hakodate),pc000624-0001
[函館弁天町厳島神社御本殿？],pc001435-0001
"函館末広町十字街ヨリ恵比須町ヲ望ム　SUEHIROCHO, HAKODATE.",pc002337-0001
"（函館）　大門停留場交叉点付近ノ景　THE OMON ELECTRIC-CAR STATION, HAKODATE.",pc020328-0001
"（函館）　若松町停車場前通リ　STREET WAKAMATSUCHO, HAKODATE.",pc001534
"函館旧桟橋前キト旅館本店　THE KIDOO HOTEL, HAKODATE.",pc010681-0001
[佐々木定吉商店],pc000992-0001
書籍雑誌各学校用品販売所　函館大町　[久△]西堀近江堂書店　地方ヨリ注文迅速発送,pc000919-0001
公園内休憩所　菊水茶亭,pc002707-0001
函館船渠　Hakodate Dock.,pc010672-0001
（函館名所）　函館船渠ヲ出渠セントスル会下山丸　THE VIEW OF HAKODATE,pc010119-0001
（函館名所）　山ノ手ヨリ市街及港内ヲ望ム,pc000529-0001
函館船渠株式会社,pc010020
[函館船渠株式会社],pc001151
函館船渠会社全景　The Hakodate Dock Co.,pc002650-0001
（函館名所）　港内船泊ノ実景　THE VIEW OF HAKODATE,pc003017
函館港内の景　VIEW OF PORT HAKODATE.,pc010111-0001
"函館氷産地五稜郭の雪景　Goryokaku in Winter, Hakodate.　",pc002179-0001
"汽車函館駅ニ居ル　THE TRAILWAY-CAR AND TATION, HAKODATE.",pc000756-0001
"（函館名所）　朔北最も枢要の函館停車場の偉観　The grand view of the oldest important Hakodate Station in North.（A famous place, Hakodate.）",pc010503-0001
（函館名所）　函青連絡桟橋連絡船横着ノ景,pc000715
完備セル函館新築停車場　THE HAKODATE STATION.,pc002777
（函館名所）　函青連絡桟橋連絡船横着ノ景,pc002800-0001
函館桟橋船客送迎の景　Receive the Passenger on Hakodate wharf,pc002822-0001
函館停車場及待合所　Hakodate station and Waiting-room,pc020137-0001
"青函連絡創業三十周年記念　札幌鉄道局　明治41-大正13　比羅夫丸　1,531噸　大正8-大正14　第一快運丸　1,056噸　大正11-大正13　壱岐丸　1,772噸　大正13-現在　翔鳳丸　3,500噸　大正15-現在　青函丸型　2,500噸",pc001382-0001
鉄道青函連絡船津軽丸,pc002543-0001
函青間連絡　翔鳳丸　S.S.SHOHO-MARU　,pc001158
