,title,wakati_title
po000001,開港112年　函館港まつり,"['開港', '112年', '函館港', 'まつり']"
po000002,開港111年　函館港まつり,"['開港', '111年', '函館港', 'まつり']"
po000005,開港109年記念　函館港まつり,"['開港', '109年', '記念', '函館港', 'まつり']"
po000006,開港108年記念　函館港まつり,"['開港', '108年', '記念', '函館港', 'まつり']"
po000008,港まつり,"['港', 'まつり']"
po000011,函館市港まつり,"['函館市', '港', 'まつり']"
po000012,函館日日新聞社,"['函館', '日日', '新聞社']"
po000013,婦女界,['婦女界']
po000015,開港119年記念函館港まつり,"['開港', '119年', '記念', '函館港', 'まつり']"
po000017,開港百十八年記念函館港まつり,"['開港', '百', '十', '八', '年', '記念', '函館港', 'まつり']"
po000018,開港116年記念　ペリー来航120周年　函館港まつり,"['開港', '116年', '記念', 'ペリー', '来航', '120周年', '函館港', 'まつり']"
po000020,開港百十三年記念　函館港まつり,"['開港', '百', '十', '三', '年', '記念', '函館港', 'まつり']"
po000022,長編講談,"['長編', '講談']"
po000023,岩波講座　日本文学,"['岩波講座', '日本文学']"
po000024,婦人世界,['婦人世界: error']
po000025,少女の友,['少女の友']
po000026,日本少年,"['日本', '少年']"
po000027,開港121年記念　函館港まつり,"['開港', '121年', '記念', '函館港', 'まつり']"
po000029,さっぽろ,['さっぽろ']
po000030,岩橋英遠展,"['岩橋英遠: error', '展']"
po000032,はこだて　,[]
po000033,松前,['松前']
po000034,松前,['松前']
po000035,第10回箱館五稜郭祭,"['10回', '箱', '館', '五稜郭', '祭']"
po000038,恐山（国鉄周遊指定地）と薬研温泉,"['恐山', '国鉄', '周遊', '指定', '地', '薬研温泉: error']"
po000039,松前,['松前']
po000041,はこだて　,[]
po000042,はこだて　,[]
po000043,はこだて　,[]
po000044,はこだて　,[]
po000045,函館　[函館観光ポスター],"['函館', '函館', '観光', 'ポスター']"
po000046,函館　,['函館']
po000047,函館　[函館観光ポスター],"['函館', '函館', '観光', 'ポスター']"
po000048,はこだて　,[]
po000049,松前,['松前']
po000050,松前,['松前']
po000051,松前,['松前']
po000052,松前,['松前']
po000053,オリンピック東京大会,"['オリンピック', '東京大会']"
po000057,京都へ,['京都']
po000058,家庭と青少年の日,"['家庭', '青少年', '日']"
po000059,たすけあって共同募金,['共同募金']
po000060,発明の日,['発明の日: error']
po000061,春の交通安全　道民総ぐるみ運動,"['春', '交通安全', '道民', '総', 'ぐるみ', '運動']"
po000062,交通安全,['交通安全']
po000063,港まつり,"['港', 'まつり']"
po000067,函館開港百年記念展,"['函館', '開港', '百', '年', '記念', '展']"
po000068,東日本名物名産共進展　,"['東日本', '名物', '名産', '共', '進展']"
po000069,北海道立美術館　1971,"['北海道', '立', '美術館', '1971']"
po000070,函館開港百年祭,"['函館', '開港', '百', '年', '祭']"
po000072,古代カルタゴ美術展,"['古代', 'カルタゴ', '美術', '展']"
po000073,北海道立近代美術館,['北海道立近代美術館']
po000074,北海道立三岸好太郎美術館,['北海道立三岸好太郎美術館: error']
po000075,ARTDEKOガラスの美,"['ARTDEKO: error', 'ガラス', '美']"
po000076,フランス美術《栄光の300年》,"['フランス', '美術', '栄光', '300年']"
po000077,札幌オリンピックを成功させよう,"['札幌オリンピック', '成功']"
po000078,第9回国民体育大会,['第9回国民体育大会: error']
po000082,開港103年記念　函館港まつり,"['開港', '103年', '記念', '函館港', 'まつり']"
po000083,開港九十年港まつり記念　昭和23年度函館観光写真コンクール,"['開港', '九', '十', '年', '港', 'まつり', '記念', '昭和', '23年度', '函館', '観光', '写真', 'コンクール']"
