,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
丹頂　千歳鶴,丹頂,千歳,鶴,,,,,,,,,,,,,,,,,
港まつり,港,まつり,,,,,,,,,,,,,,,,,,
函館日日新聞社,函館,日日,新聞,社,,,,,,,,,,,,,,,,
婦女界,婦女,界,,,,,,,,,,,,,,,,,,
長編講談,長編,講談,,,,,,,,,,,,,,,,,,
岩波講座　日本文学,岩波,講座,日本,文学,,,,,,,,,,,,,,,,
婦人世界,婦人,世界,,,,,,,,,,,,,,,,,,
少女の友,少女,友,,,,,,,,,,,,,,,,,,
日本少年,日本,少年,,,,,,,,,,,,,,,,,,
さっぽろ,さっぽろ,,,,,,,,,,,,,,,,,,,
岩橋英遠展,岩橋,英遠,展,,,,,,,,,,,,,,,,,
松前,松前,,,,,,,,,,,,,,,,,,,
松前,松前,,,,,,,,,,,,,,,,,,,
恐山（国鉄周遊指定地）と薬研温泉,恐山,国鉄,周遊,指定,地,薬研,温泉,,,,,,,,,,,,,
松前,松前,,,,,,,,,,,,,,,,,,,
松前,松前,,,,,,,,,,,,,,,,,,,
松前,松前,,,,,,,,,,,,,,,,,,,
松前,松前,,,,,,,,,,,,,,,,,,,
松前,松前,,,,,,,,,,,,,,,,,,,
オリンピック東京大会,オリンピック,東京,大会,,,,,,,,,,,,,,,,,
京都へ,京都,,,,,,,,,,,,,,,,,,,
北海道立美術館　1971,北海道,立,美術,館,,,,,,,,,,,,,,,,
北海道立近代美術館,北海道,立,近代,美術,館,,,,,,,,,,,,,,,
北海道立三岸好太郎美術館,北海道,立,三岸,好太郎,美術,館,,,,,,,,,,,,,,
フランス美術《栄光の300年》,フランス,美術,栄光,,,,,,,,,,,,,,,,,
第9回国民体育大会,国民,体育,大会,,,,,,,,,,,,,,,,,
たくぎんの1969年カレンダー,たくぎん,カレンダー,,,,,,,,,,,,,,,,,,
第9回　国体ラグビー,国体,ラグビー,,,,,,,,,,,,,,,,,,
スキーと冬山の写真展,スキー,冬山,写真,展,,,,,,,,,,,,,,,,
第9回　国体卓球,国体,卓球,,,,,,,,,,,,,,,,,,
国体宝くじ,国体,宝くじ,,,,,,,,,,,,,,,,,,
暮らしの中に光を…貯蓄,暮らし,中,光,貯蓄,,,,,,,,,,,,,,,,
第17回函館山市民ハイキング大会,函館,山,市民,ハイキング,大会,,,,,,,,,,,,,,,
謹告,謹告,,,,,,,,,,,,,,,,,,,
港まつり,港,まつり,,,,,,,,,,,,,,,,,,
港まつり,港,まつり,,,,,,,,,,,,,,,,,,
ペリー来航100年記念　港まつり,ペリー,来航,記念,港,まつり,,,,,,,,,,,,,,,
